is_bad,line
False,0 do you want to look at that ||| B-V O O O O O O
False,2 do you want to look at that ||| O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1
False,4 do you want to look at that ||| O B-ARG0 O O B-V B-ARG1 I-ARG1
False,1 it says look . ||| B-ARG0 B-V B-ARG1 O
False,1 there 's a face with glasses . ||| O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,0 look there 's Pooh_Bear . ||| B-V O O O O
False,2 look there 's Pooh_Bear . ||| B-ARGM-DIS O B-V B-ARG1 O
False,1 there 's a baby bear with his bottle . ||| O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,1 who 's that . ||| B-ARG2 B-V B-ARG1 O
False,0 is that [NAME] . ||| B-V B-ARG1 B-ARG2 O
False,2 aha I think I see [NAME] . ||| B-ARGM-DIS B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 O
True,4 aha I think I see [NAME] . ||| O O O B-ARG0 B-V O O
False,2 there he is . ||| B-ARG2 B-ARG1 B-V O
False,1 he is . ||| B-ARG1 B-V O
False,1 you see yourself . ||| B-ARG0 B-V B-ARG1 O
False,1 that 's my pretty baby boy . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 O
True,1 I 'm sorry that 's handsome baby boy . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,4 I 'm sorry that 's handsome baby boy . ||| O O O B-ARG1 B-V B-ARG2 B-ARGM-DIS I-ARGM-DIS O
False,1 you like that . ||| B-ARG0 B-V B-ARG1 O
False,0 look there 's a bunny+rabbit . ||| B-V O O O O O
True,2 look there 's a bunny+rabbit . ||| B-ARGM-DIS O B-V B-ARG1 I-ARG1 O
True,1 there 's kitty+cat . ||| O B-V B-ARG1 O
False,2 and who 's this it 's a baby . ||| O B-ARG2 B-V B-ARG1 O O O O O
False,5 and who 's this it 's a baby . ||| B-ARGM-DIS O O O B-ARG1 B-V B-ARG2 I-ARG2 O
False,1 it 's a baby . ||| B-ARG1 B-V B-ARG2 I-ARG2 O
False,0 want to look at that . ||| B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,2 want to look at that . ||| O O B-V B-ARG1 I-ARG1 O
True,0 does it fit your mouth . ||| B-V O O O O O
False,2 does it fit your mouth . ||| O B-ARG1 B-V B-ARG1 I-ARG1 O
True,0 let 's see what else there is in here . ||| B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,2 let 's see what else there is in here . ||| O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,6 let 's see what else there is in here . ||| O O O B-ARG1 I-ARG1 O B-V B-ARGM-LOC I-ARGM-LOC O
True,1 There 's a . ||| O B-V B-ARG1 O
False,1 you like that book ||| B-ARG0 B-V B-ARG1 I-ARG1
False,1 it 's very red . ||| B-ARG1 B-V B-ARG2 I-ARG2 O
False,1 red is a good thing is n't it . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 O O O O
False,5 red is a good thing is n't it . ||| O O O O O B-V B-ARGM-NEG B-ARG1 O
False,1 you want your book back do n't you . ||| B-ARG0 B-V B-ARG1 I-ARG1 O O O O O
True,5 you want your book back do n't you . ||| O O O O O B-V O O O
True,0 let 's see ||| B-V B-ARG1 I-ARG1
True,2 let 's see ||| O B-ARG0 B-V
True,0 do you want to see who this is . ||| B-V O O O O O O O O
False,2 do you want to see who this is . ||| O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,4 do you want to see who this is . ||| O B-ARG0 O O B-V B-ARG1 I-ARG1 I-ARG1 O
False,7 do you want to see who this is . ||| O O O O O B-ARG2 B-ARG1 B-V O
False,1 this is [NAME] . ||| B-ARG1 B-V B-ARG2 O
False,0 can you read your book again ||| B-V O O O O O
False,2 can you read your book again ||| B-ARGM-MOD B-ARG0 B-V B-ARG1 I-ARG1 B-ARGM-TMP
False,1 you like the book . ||| B-ARG0 B-V B-ARG1 I-ARG1 O
False,1 you want to see if it fits in your mouth . ||| B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,3 you want to see if it fits in your mouth . ||| B-ARG0 O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,6 you want to see if it fits in your mouth . ||| O O O O O B-ARG1 B-V B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O
False,0 is that what you want to see . ||| B-V B-ARG1 B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,4 is that what you want to see . ||| O O O B-ARG0 B-V B-ARG1 I-ARG1 O
False,6 is that what you want to see . ||| O O B-ARG1 B-ARG0 O O B-V O
False,2 oh that 's too big . ||| B-ARGM-DIS B-ARG1 B-V B-ARG2 I-ARG2 O
False,1 what do you know . ||| O B-V O O O
False,3 what do you know . ||| B-ARG1 O B-ARG0 B-V O
False,1 you want to hold it like that . ||| B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,3 you want to hold it like that . ||| B-ARG0 O O B-V B-ARG1 B-ARGM-MNR I-ARGM-MNR O
True,1 there 's baby bear with his bottle . ||| O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,0 see baby bear . ||| B-V B-ARG1 I-ARG1 O
True,2 see baby bear . ||| O B-ARG1 B-V O
False,1 yeah see baby bear . ||| B-ARGM-DIS B-V B-ARG1 I-ARG1 O
True,3 yeah see baby bear . ||| B-ARGM-DIS O B-ARG1 B-V O
False,3 and then who 's this . ||| O O B-ARG2 B-V B-ARG1 O
True,1 who 's picture is that ||| B-ARG0 B-V O O O
True,3 who 's picture is that ||| B-ARG1 I-ARG1 I-ARG1 B-V B-ARG2
False,0 do you see yourself in the mirror . ||| B-V O O O O O O O
False,2 do you see yourself in the mirror . ||| O B-ARG0 B-V B-ARG1 B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O
False,1 that 's [NAME] . ||| B-ARG1 B-V B-ARG2 O
False,1 still want to see if it fits in your mouth . ||| B-ARGM-TMP B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,3 still want to see if it fits in your mouth . ||| O O O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,6 still want to see if it fits in your mouth . ||| O O O O O B-ARG1 B-V B-ARGM-LOC I-ARGM-LOC I-ARGM-LOC O
False,2 oh what do you think . ||| O O B-V O O O
False,4 oh what do you think . ||| O B-ARG1 O B-ARG0 B-V O
False,0 does it fit nice . ||| B-V O O O O
False,2 does it fit nice . ||| O B-ARG1 B-V B-ARGM-MNR O
False,1 that 's such a pretty red . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,0 can you see ? ||| B-V O O O
False,1 I think the horse piece might go there . ||| B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,6 hm so you wanna help me make some brownies ? ||| O O O O O B-ARG0 B-V B-ARG1 I-ARG1 O
False,2 let me see it ? ||| O B-ARG0 B-V B-ARG1 O
False,7 I 'm sure she ate before she went to work . ||| O O O O O O B-ARG0 B-V B-ARG4 I-ARG4 O
True,1 z is for zither and zebra . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,4 oh I could really spend the day not watching tv . ||| B-ARGM-DIS B-ARG0 B-ARGM-MOD B-ARGM-ADV B-V B-ARG1 I-ARG1 B-ARG2 I-ARG2 I-ARG2 O
False,2 do you know why we ca n't get helium now [NAME] ? ||| O B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,0 do you know it [NAME] . ||| B-V O O O O O
False,0 show me the scales . ||| B-V B-ARG2 B-ARG1 I-ARG1 O
False,3 I think that 's the one we lost . ||| O O B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,1 see look look ? ||| O B-V O O
False,0 put it in the closet ? ||| B-V B-ARG1 B-ARG2 I-ARG2 I-ARG2 O
False,0 wait a minute . ||| B-V B-ARGM-TMP I-ARGM-TMP O
False,3 I had I want ||| O O B-ARG0 B-V
True,3 hm well there 's the ball and we 're gon na get rid of the big spider . ||| O B-ARGM-DIS O B-V B-ARG1 I-ARG1 O O O O O O O O O O O O
False,1 where 's the big truck [NAME] . ||| B-ARG2 B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,0 is n't that silly ? ||| B-V B-ARGM-NEG B-ARG1 B-ARG2 O
False,4 looks kinda like one do n't it . ||| O O O O B-V O O O
False,4 gee [NAME] I 've got a lot of work to do ? ||| B-ARGM-DIS I-ARGM-DIS B-ARG0 O B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,1 you want juice ||| B-ARG0 B-V B-ARG1
False,5 well it 's gon na be kind of messy . ||| O B-ARG1 O O O B-V B-ARG2 I-ARG2 I-ARG2 O
False,4 I do n't even know where the book is . ||| B-ARG0 O B-ARGM-NEG B-ARGM-ADV B-V B-ARG1 I-ARG1 I-ARG1 I-ARG1 O
False,3 hm ca n't find your rooster . ||| B-ARGM-DIS B-ARGM-MOD B-ARGM-NEG B-V B-ARG1 I-ARG1 O
True,3 would you like spinach salad girls ? ||| O O O B-V O O O
False,2 fine that 's good [NAME] . ||| B-ARGM-DIS B-ARG1 B-V B-ARG2 O O
False,1 it 's so nice . ||| B-ARG1 B-V B-ARG2 I-ARG2 O
False,5 the daddies and mommies will sit on that bench ? ||| B-ARG1 I-ARG1 I-ARG1 I-ARG1 B-ARGM-MOD B-V B-ARG2 I-ARG2 I-ARG2 O
False,0 let 's see . ||| B-V B-ARG1 I-ARG1 O
False,0 would you like to pick it out or would you like [NAME] to pick it out . ||| B-V O O O O O O O O O O O O O O O O
False,1 that 's why they were best friends . ||| B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,7 ask your ask your [NAME] if she 's a boy or a girl ? ||| O O O O O O B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,1 oh thank you now ||| B-ARGM-DIS B-V B-ARG1 B-ARGM-TMP
True,7 if I 've got ta talk you know I get all confused . ||| O O O O O O B-ARG0 B-V O O O O O
False,1 that 's very good ? ||| B-ARG1 B-V B-ARG2 I-ARG2 O
False,5 okay why do n't you crawl in your bed and I 'll give you some ginger ale ? ||| O B-ARGM-CAU O B-ARGM-NEG B-ARG0 B-V B-ARG1 I-ARG1 I-ARG1 O O O O O O O O O
True,1 I hold [NAME] too ? ||| B-ARG0 B-V O B-ARGM-DIS O
False,2 no it 's different meet from what we eat ? ||| B-ARGM-DIS B-ARG1 B-V B-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 I-ARG2 O
False,4 in_case you want to carry it with you . ||| O B-ARG0 O O B-V B-ARG1 B-ARG3 I-ARG3 O
